obra,obraId,codigoEvweb,descripcion,param1,param2
FEDERACION PATRONAL ART,228,6601,Tratamiento endovascular de dos o mas aneurismas cerebrales (embolizacion de 2 o mas aneurismas cerebrales),15533,98
FEDERACION PATRONAL ART,228,7550,Tratamiento quirurgico de aneurisma o pseudo-aneurisma humeral o femoral con by-pass,15544,98
FEDERACION PATRONAL ART,228,7584,Angiodisplasia,15340,92
FEDERACION PATRONAL ART,228,5091,Angiografia de vasos de miembros inferior o superior,13692,92
FEDERACION PATRONAL ART,228,5092,Angiografia de vasos uterinos,13694,92
FEDERACION PATRONAL ART,228,5093,Angiografia del cuello,13695,92
FEDERACION PATRONAL ART,228,5094,Angiografia medular,13698,92
FEDERACION PATRONAL ART,228,5095,Angioplastia coronaria con o sin colocacion de stent,13699,94
FEDERACION PATRONAL ART,228,5096,Angioplastia de mas de un vaso con o sin stent,13700,93
FEDERACION PATRONAL ART,228,5097,Angioplastia de un vaso periferico con o sin stent,13701,92
FEDERACION PATRONAL ART,228,7536,Angioplastia o remplazo valvular en pacientes con ASA 4,15289,98
FEDERACION PATRONAL ART,228,7533,Correccion de coartacion de aorta en hemodinamia en el recien nacido (Angioplastia),15547,98
FEDERACION PATRONAL ART,228,5100,Anquilosis temporo-mandibular bilateral,14866,93
FEDERACION PATRONAL ART,228,5101,"Anquilosis temporo-mandibular, unilateral",14867,92
FEDERACION PATRONAL ART,228,5102,Antrotomia y atico-antrotomia,13704,92
FEDERACION PATRONAL ART,228,8542,Nucleoplastia y / o anuloplastia con Rf. ( 2 o 3 discos),69392,98
FEDERACION PATRONAL ART,228,5103,Anuloplastia mitral o tricuspidea,14868,95
FEDERACION PATRONAL ART,228,7505,Nucleoplastia y/o anuloplastia con Rf (un disco),15274,98
FEDERACION PATRONAL ART,228,7506,Nucleoplastia y/o anuloplastia con Rf (dos a tres discos),15278,98
FEDERACION PATRONAL ART,228,5104,Aortografia por cateterismo,13705,92
FEDERACION PATRONAL ART,228,5105,Aortografia por puncion,13706,91
FEDERACION PATRONAL ART,228,6707,Apendicectomia Convertida,60858,94
FEDERACION PATRONAL ART,228,5106,Apendicectomia por via convencional,13707,92
FEDERACION PATRONAL ART,228,5107,Apendicectomia por videolaparoscopia,13708,93
FEDERACION PATRONAL ART,228,5517,Diatermia o crioaplicacion escleral,13993,90
FEDERACION PATRONAL ART,228,6423,Retinopexia (diatermia y o crioaplicacion),14644,92
FEDERACION PATRONAL ART,228,5108,Aplicacion de laser en retina,15526,90
FEDERACION PATRONAL ART,228,5109,Aponeurotomia / fasciotomia cutanea,13710,90
FEDERACION PATRONAL ART,228,6703,Tac de Columna (Cada Area),60854,91
FEDERACION PATRONAL ART,228,5264,Cesarea,13803,93
FEDERACION PATRONAL ART,228,5265,Cesarea por placenta acreta o sus variedades con o sin embolizacion y que termina en histerectomia,13804,98
FEDERACION PATRONAL ART,228,6688,"Videolaparoscopia diagnostica (incluye endometriosis, prueba de Cote y ligadura tubarea bilateral)",14835,92
FEDERACION PATRONAL ART,228,6421,Resonancia (un area) con espectroscopia,15161,93
FEDERACION PATRONAL ART,228,6289,"RMN (dos areas), con o sin contraste",15166,92
FEDERACION PATRONAL ART,228,6290,"RMN (mas de dos areas), con o sin contraste",15167,93
FEDERACION PATRONAL ART,228,6291,"RMN (un area), con o sin contraste",15168,91
FEDERACION PATRONAL ART,228,6507,TAC de cerebro / orbita / cara / cuello (un area) (con o sin contraste),15175,90
FEDERACION PATRONAL ART,228,5110,Arreglos dentales de mas de 4 piezas (obturacion dentaria),13711,93
FEDERACION PATRONAL ART,228,5111,Arreglos dentales hasta 4 piezas (obturacion dentaria),13712,92
FEDERACION PATRONAL ART,228,5112,Arteriografia,13713,90
FEDERACION PATRONAL ART,228,5113,Arteriografia cerebral por cateterismo,13714,90
